ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,122,2176,66.75,16.57,16.70,45.39,46.78
1,122,2240,67.00,16.80,16.95,47.83,49.56
1,122,2304,67.25,17.04,17.17,50.56,52.10
1,122,2368,67.49,17.27,17.39,53.33,54.80
1,122,2432,67.72,17.53,17.60,56.68,57.55
1,122,2496,67.94,17.73,17.83,59.34,60.61
1,122,2560,68.16,17.93,18.04,62.15,63.62
1,122,2624,68.38,18.16,18.23,65.50,66.47
1,122,2688,68.59,18.41,18.44,69.34,69.82
1,122,2752,68.79,18.60,18.63,72.52,73.01
1,122,2816,68.99,18.78,18.84,75.58,76.47
1,122,2880,69.19,18.92,18.98,77.94,79.03
1,122,2944,69.38,19.09,19.14,81.15,81.99
1,122,3008,69.57,19.26,19.31,84.36,85.23
1,122,3072,69.75,19.42,19.45,87.50,88.11
1,122,3136,69.93,19.56,19.59,90.38,90.90
1,122,3200,70.10,19.70,19.74,93.22,94.23
1,122,3264,70.28,19.86,19.90,96.91,97.63
1,122,3328,70.44,20.01,20.07,100.27,101.54
1,122,3392,70.61,20.15,20.22,103.52,105.15
1,122,3456,70.77,20.30,20.33,107.24,107.92
1,122,3520,70.93,20.27,20.33,106.43,107.80
1,122,3584,71.09,20.29,20.33,107.02,107.95
1,122,3648,71.24,20.27,20.34,106.51,108.04
1,122,3712,71.39,20.25,20.34,105.99,108.09
1,122,3776,71.54,20.29,20.33,106.95,107.87
1,122,3840,71.69,20.28,20.34,106.73,108.13
1,122,3904,71.83,20.25,20.33,105.80,107.78
1,122,3968,71.97,20.27,20.33,106.43,107.83
1,122,4032,72.11,20.22,20.33,105.18,107.94
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,138,640,56.12,7.92,7.24,6.20,5.30
0,138,704,56.95,8.68,8.07,7.38,6.41
0,138,768,57.71,9.51,8.80,8.93,7.59
0,138,832,58.40,10.08,9.50,10.19,8.91
0,138,896,59.05,10.87,10.15,12.22,10.35
0,138,960,59.65,11.35,10.78,13.65,11.97
0,138,1024,60.21,11.99,11.42,15.79,13.87
0,138,1088,60.73,12.60,11.98,18.19,15.78
0,138,1152,61.23,13.05,12.48,20.19,17.71
0,138,1216,61.70,13.53,12.95,22.55,19.72
0,138,1280,62.14,13.98,13.41,24.98,21.93
0,138,1344,62.57,14.35,13.80,27.20,24.01
0,138,1408,62.97,14.70,14.18,29.52,26.16
0,138,1472,63.36,15.07,14.53,32.14,28.36
0,138,1536,63.73,15.37,14.89,34.43,30.84
0,138,1600,64.08,15.75,15.22,37.61,33.25
0,138,1664,64.42,16.12,15.58,40.89,36.15
0,138,1728,64.75,16.42,15.89,43.84,38.84
0,138,1792,65.07,16.74,16.20,47.20,41.69
0,138,1856,65.37,17.03,16.53,50.48,44.96
0,138,1920,65.67,17.27,16.78,53.36,47.60
0,138,1984,65.95,17.51,17.06,56.39,50.76
0,138,2048,66.23,17.73,17.31,59.34,53.84
0,138,2112,66.49,17.92,17.51,61.96,56.34
0,138,2176,66.75,18.16,17.75,65.47,59.54
0,138,2240,67.00,18.37,17.98,68.64,62.87
0,138,2304,67.25,18.65,18.25,73.22,66.87
0,138,2368,67.49,18.85,18.49,76.69,70.63
0,138,2432,67.72,19.05,18.71,80.41,74.32
0,138,2496,67.94,19.24,18.93,84.03,78.18
0,138,2560,68.16,19.43,19.14,87.80,82.00
0,138,2624,68.38,19.63,19.33,91.82,85.62
0,138,2688,68.59,19.79,19.52,95.18,89.62
0,138,2752,68.79,19.96,19.68,99.16,92.83
0,138,2816,68.99,20.09,19.84,102.00,96.46
0,138,2880,69.19,20.25,20.02,105.88,100.49
0,138,2944,69.38,20.40,20.16,109.57,103.78
0,138,3008,69.57,20.56,20.35,113.66,108.37
0,138,3072,69.75,20.70,20.49,117.54,112.05
0,138,3136,69.93,20.85,20.67,121.67,116.65
0,138,3200,70.10,21.03,20.86,126.69,121.81
0,138,3264,70.28,21.12,21.02,129.50,126.36
0,138,3328,70.44,21.27,21.17,134.04,131.05
0,138,3392,70.61,21.41,21.33,138.50,135.80
0,138,3456,70.77,21.54,21.46,142.45,140.05
0,138,3520,70.93,21.55,21.50,142.97,141.41
0,138,3584,71.09,21.55,21.50,142.82,141.09
0,138,3648,71.24,21.54,21.50,142.71,141.19
