BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A2_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,22,r 403422c8  [0x403422C8] = 0xDE3F4DAD    ,23.85,-28.15
#A2_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,23,r 403422c8  [0x403422C8] = 0xDE3F4DC2    ,24.43,-27.33
#A2_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,24,r 403422c8  [0x403422C8] = 0xDF3F4FA1    ,23.83,-27.04
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,8,r 403422c8  [0x403422C8] = 0xCB3F474C    ,10.17,-39.11
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4755    ,11.17,-39.33
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F475F    ,12.19,-39.68
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476B    ,13.21,-40.06
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,14.18,-38.30
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,15.21,-38.86
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,16.18,-38.91
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,17.16,-37.12
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,16,r 403422c8  [0x403422C8] = 0xD53F4B74    ,17.84,-39.11
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,17,r 403422c8  [0x403422C8] = 0xD53F4B83    ,18.83,-36.38
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4B93    ,19.78,-32.86
#A2_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BA5    ,20.70,-30.56
